raw data file is: 70.dat
number of data points: 	206
0.007866387747315847	112.616758753302	11.2616758753302
0.009076600297444191	52.8500457768292	5.28500457768292
0.01028681244068223	19.75689298787385	1.975689298787385
0.01149702412279695	5.806117127319988	0.5806117127319989
0.01270723528942846	2.803992667364003	0.2803992667364003
0.01391744588644949	3.994581421095223	0.3994581421095223
0.01512765585951071	5.341680720088755	0.5341680720088755
0.01633786515436856	5.32172617281435	0.5321726172814351
0.01754807371688517	4.079911960478949	0.4079911960478949
0.01875828149260551	2.459890501117025	0.2459890501117025
0.01996848842749745	1.178447712459073	0.11784477124590731
0.02117869446721168	0.5489370609237003	0.054893706092370036
0.02238889955739887	0.4484254004732159	0.04484254004732159
0.0235991036439212	0.597741094866376	0.05977410948663761
0.02480930667253506	0.7307823658584066	0.07307823658584066
0.02601950858899688	0.731098634160169	0.0731098634160169
0.02722970933895735	0.5923857592762892	0.05923857592762893
0.02843990886827861	0.4013390109584702	0.040133901095847024
0.02965010712261134	0.2407941957314618	0.02407941957314618
0.03086030404771197	0.1634882039706909	0.01634882039706909
0.03207049958933691	0.1511848442321228	0.015118484423212281
0.03328069369334832	0.1748041198010132	0.01748041198010132
0.03449088630539688	0.1946303390759757	0.01946303390759757
0.03570107737134474	0.1858019078003908	0.018580190780039082
0.03691126683673685	0.1549771792479488	0.01549771792479488
0.03812145464743535	0.1139219220054636	0.01139219220054636
0.03933164074930243	0.08286944402691156	0.008286944402691156
0.04054182508788299	0.06572643725661603	0.006572643725661603
0.0417520076090392	0.06390900781924283	0.006390900781924284
0.0429621882585275	0.06814952136929675	0.006814952136929675
0.04417236698210428	0.07153993118113446	0.007153993118113446
0.04538254372552597	0.06831387303263647	0.006831387303263648
0.04659271843454899	0.05922670873894201	0.0059226708738942015
0.04780289105492976	0.04945897875011879	0.004945897875011879
0.04901306153231894	0.03879884153228721	0.003879884153228721
0.05022322981268445	0.03443350307600082	0.003443350307600082
0.05143339584157121	0.03259317887892128	0.0032593178878921286
0.0526435595648414	0.03187794405961286	0.003187794405961286
0.0538537209282514	0.032034231932709	0.0032034231932708997
0.05506387987766342	0.03074195898290412	0.003074195898290412
0.05627403635862235	0.02950910276346136	0.0029509102763461362
0.05748419031699038	0.02597297406270253	0.0025972974062702533
0.05869434169852392	0.02172008297325617	0.002172008297325617
0.05990449044897937	0.01904475453686304	0.0019044754536863041
0.06111463651411317	0.01829047064753475	0.0018290470647534752
0.06232477983978746	0.01754680143771178	0.0017546801437711781
0.06353492037165294	0.01743152631967027	0.0017431526319670269
0.064745058055466	0.01784471421870929	0.0017844714218709292
0.06595519283708882	0.01646620075859324	0.0016466200758593241
0.0671653246622778	0.0153290806896529	0.00153290806896529
0.06837545347668365	0.01377191016704792	0.0013771910167047921
0.0695855792261685	0.0126087524860857	0.0012608752486085702
0.07079570185638301	0.01178703658654697	0.001178703658654697
0.07200582131329511	0.01164438278444843	0.001164438278444843
0.0732159375425555	0.01159386734650354	0.001159386734650354
0.07442605048992053	0.01113670845115836	0.001113670845115836
0.07563616010114667	0.01093840222048648	0.001093840222048648
0.07684626632209605	0.009959508995936126	0.0009959508995936127
0.0780563690985251	0.009091083172884679	0.0009091083172884679
0.07926646837619025	0.008845581363573066	0.0008845581363573067
0.08047656410084789	0.008456472992017109	0.0008456472992017109
0.08168665621814873	0.008319453567681233	0.0008319453567681233
0.08289674467416637	0.008256366290125305	0.0008256366290125306
0.08410682941444576	0.00786738996916463	0.0007867389969164629
0.08531691038484908	0.007894502691024992	0.0007894502691024992
0.08652698753113273	0.007470576318522363	0.0007470576318522363
0.08773706079905312	0.007095709394950441	0.0007095709394950441
0.08894713013447245	0.006426215729838799	0.0006426215729838799
0.09015719548314707	0.006471075924529703	0.0006471075924529704
0.09136725679083343	0.006678670419328681	0.0006678670419328681
0.09257731400328795	0.006542952439923162	0.0006542952439923162
0.0937873670663728	0.006314076489484555	0.0006314076489484556
0.09499741592584438	0.006385840152626442	0.0006385840152626442
0.09620746052745911	0.006197223884969418	0.0006197223884969418
0.09741750081697338	0.005794270441272893	0.0005794270441272894
0.09862753674035515	0.005484365984118704	0.0005484365984118704
0.09983756824314932	0.005713662958451037	0.0005713662958451037
0.1010475952713238	0.005371675905508041	0.0005371675905508042
0.102257617770635	0.005283702270887451	0.0005283702270887451
0.1034676356868393	0.005432322097006468	0.0005432322097006468
0.1046776489657989	0.004980521503713321	0.0004980521503713322
0.1058876575530587	0.005080368040875868	0.0005080368040875868
0.1070976613955383	0.004970694545857629	0.000497069454585763
0.1083076604364564	0.004872550219425843	0.0004872550219425843
